"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"57,7,d92553fc-d5ea-4346-8af0-135ad82d0d22,1OvL5aj2paUVXrgNdCqCMMBfU9ntuysFJ,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:09.826221+00"
"58,7,2f578670-9f56-4db3-ac5c-32a590ce54f8,11Qi2KvaA-_k6Wtjn5d-IqV1tF8jXHlsX,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:11.725719+00"
"59,7,c3b34c03-f911-4e5e-9856-2381a4096842,1XNguAefGZBoaDxcZ_TPEQsy8atUChI6k,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:14.527601+00"
"60,7,934e791f-269b-4586-acb9-6f063e90482f,1P-POHHdwHA3I2wAVuc23bmtVBasusUKV,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:16.527269+00"
"61,7,1def40ea-4629-4cb0-98f2-1ae280e9bf2e,1M91uhorl90l9tq7PMnp_bDRnFE-vr2pe,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:18.226214+00"
"62,7,2e4d93f1-c912-4208-8969-401d4e0331d5,1fqEZ6DkDif-gkc7wBFuOSzU1YVX_Hh_A,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:19.42716+00"
"63,7,b9c59d05-a644-4bf2-9cc6-e446a8f4294f,1DNZG1cG2Q0c3HXnUhaJ29auXSf_3Og5O,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:20.92734+00"
"64,7,7f1937c3-8f11-43fc-8cd7-dbddcf5f40cb,16APJipBmvfrvf2wod_FpygSrfxr_v6VK,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:23.227169+00"
"65,7,e9696f6e-e780-426c-ac90-6e18167e7214,1aMOAEI_GtJXJdXtPrhdWkO2IunWmLx-U,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:25.227105+00"
"66,7,45ef67c3-3cb8-4d1f-b645-6f401be87129,1Hd2WoJNdgWROnRR7q3nyBQQOPT2DseT_,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:26.927616+00"
"67,7,b4167896-e514-45e7-960a-5b00b9604eb3,1RwW6IzgRGaxEJIWKmbHX__uZX2Bs8gdm,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:28.726299+00"
"68,8,903b9881-41bc-4500-882b-e3eb4cab7aea,1yTldmRyY8vx4mWe2SlENgdOv9HSGBitm,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:30.227197+00"
"69,8,52289686-c889-4f4b-ac25-7d3b8fb2f4a6,1kQqZa3-68tY6MRvpTS0dw4QzxQyRTBT-,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:31.827173+00"
"70,8,c3db946e-eb7c-4032-8b7c-98daea7a8d1d,1CPbtL1HffDur9c1CrEayAaqxZNy-3gio,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:34.12733+00"
"71,8,a2742d2c-f268-41d7-820e-e1fde7c686a8,1AiVWuSDxNURZJxTaTp8PCfVxIgRL31RO,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:36.027161+00"
"72,8,e1313aca-5399-4d7d-852f-ba38da8e5dfe,153vQRVlAqRDq-QUI353DcVhU0K6pVAmt,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:37.927657+00"
"73,8,9c7196ed-2a19-4bb4-a61e-85a37da15b9b,10c5QHwyxi8oZ_VPuqGf2STDoSdm-dD7E,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:39.725538+00"
"74,8,29393aab-85a5-4dc9-b495-b8e3322ba553,1ZqQf705CmkysY9Y8lCpw9CfzGMmvYRYS,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:41.425729+00"
